Year,Make,Model,FCCid,Frequency,Modulation,Exploit,ExploitSource,Chipset
1996,Buick,LeSabre,KOBUT1BT,315,XXX,,,
1996,Buick,Park Ave,KOBUT1BT,315,XXX,,,
1996,Cadillac,Deville,AB01602T,noRecord,XXX,,,
1996,Cadillac,Eldorado,AB01602T,noRecord,XXX,,,
1996,Cadillac,Seville,AB01602T,noRecord,XXX,,,
1996,Nissan,200SX,KOBUTA3T,315,???,,,
1996,Nissan,Pathfinder,KOBUTA3T,315,???,,,
1997,Buick,LeSabre,KOBUT1BT,315,XXX,,,
1997,Buick,Park Ave,KOBUT1BT,315,XXX,,,
1997,Cadillac,Catera,AB01602T,noRecord,XXX,,,
1997,Cadillac,Deville,AB01602T,noRecord,XXX,,,
1997,Cadillac,Eldorado,AB01602T,noRecord,XXX,,,
1997,Infiniti,QX4,KOBUTA3T,315,???,,,
1997,Nissan,200SX,KOBUTA3T,315,???,,,
1997,Nissan,Pathfinder,KOBUTA3T,315,???,,,
1998,Buick,LeSabre,KOBUT1BT,315,XXX,,,
1998,Buick,Park Ave,KOBUT1BT,315,XXX,,,
1998,Cadillac,Catera,AB01602T,noRecord,XXX,,,
1998,Ford,Escort,CWTWB1U331,314.5/315.5,ASK,,,
1998,Ford,Expedition,CWTWB1U331,314.5/315.5,ASK,,,
1998,Ford,Explorer,CWTWB1U331,314.5/315.5,ASK,,,
1998,Ford,F150,CWTWB1U331,314.5/315.5,ASK,,,
1998,Ford,Ranger,CWTWB1U331,314.5/315.5,ASK,,,
1998,Ford,Taurus,CWTWB1U331,314.5/315.5,ASK,,,
1998,Infiniti,QX4,KOBUTA3T,315,???,,,
1998,Nissan,200SX,KOBUTA3T,315,???,,,
1998,Nissan,Altima,KOBUTA3T,315,???,,,
1998,Nissan,Frontier,KOBUTA3T,315,???,,,
1998,Nissan,Pathfinder,KOBUTA3T,315,???,,,
1998,Toyota,Tacoma,ELVATDD,433.92,ASK,,,
1999,Buick,LeSabre,KOBUT1BT,315,XXX,,,
1999,Buick,Park Ave,KOBUT1BT,315,XXX,,,
1999,Cadillac,Catera,AB01602T,noRecord,XXX,,,
1999,Ford,Econoline,CWTWB1U331,314.5/315.5,ASK,,,
1999,Ford,Escort,CWTWB1U331,314.5/315.5,ASK,,,
1999,Ford,Expedition,CWTWB1U331,314.5/315.5,ASK,,,
1999,Ford,Explorer,CWTWB1U331,314.5/315.5,ASK,,,
1999,Ford,F150,CWTWB1U331,314.5/315.5,ASK,,,
1999,Ford,Mustang,CWTWB1U331,314.5/315.5,ASK,,,
1999,Ford,Ranger,CWTWB1U331,314.5/315.5,ASK,,,
1999,Ford,Taurus,CWTWB1U331,314.5/315.5,ASK,,,
1999,Ford,Windstar,CWTWB1U331,314.5/315.5,ASK,,,
1999,Nissan,Altima,KOBUTA3T,315,???,,,
1999,Nissan,Frontier,KOBUTA3T,315,???,,,
1999,Nissan,Pathfinder,KOBUTA3T,315,???,,,
1999,Nissan,Quest,KOBUTA3T,315,???,,,
1999,Toyota,4Runner,HYQ12BBX,314.35,ASK,,,
1999,Toyota,Camry,GQ43VT14T,315,???,Replay attack,https://www.rtl-sdr.com/using-an-rtl-sdr-and-rpitx-to-unlock-a-car-with-a-replay-attack/,
1999,Toyota,Sienna,GQ43VT14T,315,???,Replay attack,https://www.rtl-sdr.com/using-an-rtl-sdr-and-rpitx-to-unlock-a-car-with-a-replay-attack/,
1999,Toyota,Solara,GQ43VT14T,315,???,Replay attack,https://www.rtl-sdr.com/using-an-rtl-sdr-and-rpitx-to-unlock-a-car-with-a-replay-attack/,
1999,Toyota,Solara,HYQ12BAN,314.35,ASK,,,
1999,Toyota,Tacoma,ELVATDD,433.92,ASK,,,
2000,Chevrolet,Impala,KOBUT1BT,315,XXX,,,
2000,Chevrolet,Malibu,KOBUT1BT,315,XXX,,,
2000,Chevrolet,Monte Carlo,KOBUT1BT,315,XXX,,,
2000,Ford,Crown Victoria,CWTWB1U331,314.5/315.5,ASK,,,
2000,Ford,Econoline,CWTWB1U331,314.5/315.5,ASK,,,
2000,Ford,Escape,CWTWB1U331,314.5/315.5,ASK,,,
2000,Ford,Escort,CWTWB1U331,314.5/315.5,ASK,,,
2000,Ford,Excursion,CWTWB1U331,314.5/315.5,ASK,,,
2000,Ford,Expedition,CWTWB1U331,314.5/315.5,ASK,,,
2000,Ford,Explorer,CWTWB1U331,314.5/315.5,ASK,,,
2000,Ford,F150,CWTWB1U331,314.5/315.5,ASK,,,
2000,Ford,Focus,CWTWB1U331,314.5/315.5,ASK,,,
2000,Ford,Mustang,CWTWB1U331,314.5/315.5,ASK,,,
2000,Ford,Ranger,CWTWB1U331,314.5/315.5,ASK,,,
2000,Ford,Taurus,CWTWB1U331,314.5/315.5,ASK,,,
2000,Ford,Windstar,CWTWB1U331,314.5/315.5,ASK,,,
2000,Nissan,Altima,KOBUTA3T,315,???,,,
2000,Nissan,Frontier,KOBUTA3T,315,???,,,
2000,Nissan,Quest,KOBUTA3T,315,???,,,
2000,Nissan,Xterra,KOBUTA3T,315,???,,,
2000,Subaru,Forester,NHVWB1U711,433.92,ASK,Rolling code increments by 1,https://www.rtl-sdr.com/using-an-rtl-sdr-and-rpitx-to-defeat-the-rolling-code-scheme-used-on-some-subaru-cars/,
2000,Toyota,4Runner,HYQ12BBX,314.35,ASK,,,
2000,Toyota,Avalon,HYQ12BAN,314.35,ASK,,,
2000,Toyota,Camry,GQ43VT14T,315,???,Replay attack,https://www.rtl-sdr.com/using-an-rtl-sdr-and-rpitx-to-unlock-a-car-with-a-replay-attack/,
